"Year","TA","Region","GDP","notes"
2000,"Ashburton District","Canterbury",714.880646571761,""
2000,"Auckland","Auckland",40539,""
2000,"Buller District","West Coast",202.176367688229,""
2000,"Carterton District","Wellington",120.911995712625,""
2000,"Central Hawke's Bay District","Hawke's Bay",311.635755426818,""
2000,"Central Otago District","Otago",371.354610769183,""
2000,"Christchurch City","Canterbury",9882.24266941097,""
2000,"Clutha District","Otago",466.755326227805,""
2000,"Dunedin City","Otago",2941.6370561056,""
2000,"Far North District","Northland",916.891295702978,""
2000,"Gisborne District","Gisborne",968,""
2000,"Gore District","Southland",320.846108176369,""
2000,"Grey District","West Coast",308.727141034701,""
2000,"Hamilton City","Waikato",3845.900155963,""
2000,"Hastings District","Hawke's Bay",1817.89989094536,""
2000,"Hauraki District","Waikato",295.56745313516,""
2000,"Horowhenua District","Manawatu-Wanganui",412.377928893327,""
2000,"Hurunui District","Canterbury",146.925370950495,""
2000,"Invercargill City","Southland",1334.92520115027,""
2000,"Kaikoura District","Canterbury",58.7395139494234,""
2000,"Kaipara District","Northland",286.238810070458,""
2000,"Kapiti Coast District","Wellington",358.411948806001,""
2000,"Kawerau District","Bay of Plenty",480.926205427275,""
2000,"Lower Hutt City","Wellington",2710.00180857855,""
2000,"Mackenzie District","Canterbury",90.4825594547586,""
2000,"Manawatu District","Manawatu-Wanganui",409.66208036156,""
2000,"Marlborough District","Marlborough",1005,""
2000,"Masterton District","Wellington",453.307565185531,""
2000,"Matamata-Piako District","Waikato",771.61510294942,""
2000,"Napier City","Hawke's Bay",1205.8479148503,""
2000,"Nelson City","Nelson",1295.17168338138,""
2000,"New Plymouth District","Taranaki",2495.62583468886,""
2000,"Opotiki District","Bay of Plenty",150.824123313895,""
2000,"Otorohanga District","Waikato",217.866788738781,""
2000,"Palmerston North City","Manawatu-Wanganui",2359.3293958255,""
2000,"Porirua City","Wellington",647.422578168881,""
2000,"Queenstown-Lakes District","Otago",608.988570860481,""
2000,"Rangitikei District","Hawke's Bay",37.2980155903208,""
2000,"Rangitikei District","Manawatu-Wanganui",248.116726740112,""
2000,"Rotorua District","Bay of Plenty",1195.07987492046,""
2000,"Rotorua District","Waikato",652.011296283019,""
2000,"Ruapehu District","Manawatu-Wanganui",349.513201440774,""
2000,"Selwyn District","Canterbury",538.379422389395,""
2000,"South Taranaki District","Taranaki",1239.12284574485,""
2000,"South Waikato District","Waikato",699.47287396393,""
2000,"South Wairarapa District","Wellington",157.091968906553,""
2000,"Southland District","Southland",876.228690673364,""
2000,"Stratford District","Manawatu-Wanganui",44.9367755590844,""
2000,"Stratford District","Taranaki",126.251319566291,""
2000,"Tararua District","Manawatu-Wanganui",358.503451188409,""
2000,"Tararua District","Wellington",5.95749522769492,""
2000,"Tasman District","Tasman",746.828316618616,""
2000,"Taupo District","Bay of Plenty",125.785293990606,""
2000,"Taupo District","Hawke's Bay",78.6431863400696,""
2000,"Taupo District","Manawatu-Wanganui",5.10323595755447,""
2000,"Taupo District","Waikato",584.313719551744,""
2000,"Tauranga City","Bay of Plenty",2515.46229809484,""
2000,"Thames-Coromandel District","Waikato",443.856681259207,""
2000,"Timaru District","Canterbury",946.667551434631,""
2000,"Upper Hutt City","Wellington",458.097217691051,""
2000,"Waikato District","Waikato",732.824667799782,""
2000,"Waimakariri District","Canterbury",382.438025431231,""
2000,"Waimate District","Canterbury",108.174326796906,""
2000,"Waipa District","Waikato",718.169136334023,""
2000,"Wairoa District","Hawke's Bay",188.67523684713,""
2000,"Waitaki District","Canterbury",260.069913610425,""
2000,"Waitaki District","Otago",195.264436036933,""
2000,"Waitomo District","Manawatu-Wanganui",12.6069178058358,""
2000,"Waitomo District","Waikato",262.402124021936,""
2000,"Wanganui District","Manawatu-Wanganui",895.85028622784,""
2000,"Wellington City","Wellington",12311.7974217231,""
2000,"Western Bay of Plenty District","Bay of Plenty",582.752097825955,""
2000,"Westland District","West Coast",184.09649127707,""
2000,"Whakatane District","Bay of Plenty",786.170106426964,""
2000,"Whangarei District","Northland",1650.86989422656,""
2001,"Ashburton District","Canterbury",801.993027230717,""
2001,"Auckland","Auckland",41705,""
2001,"Buller District","West Coast",239.574457380929,""
2001,"Carterton District","Wellington",134.645523010852,""
2001,"Central Hawke's Bay District","Hawke's Bay",368.962547461454,""
2001,"Central Otago District","Otago",430.55195201288,""
2001,"Christchurch City","Canterbury",10183.9618686198,""
2001,"Clutha District","Otago",570.666737536309,""
2001,"Dunedin City","Otago",3095.30734291022,""
2001,"Far North District","Northland",997.987587929196,""
2001,"Gisborne District","Gisborne",1014,""
2001,"Gore District","Southland",373.69608076556,""
2001,"Grey District","West Coast",347.95980946968,""
2001,"Hamilton City","Waikato",4151.05483798004,""
2001,"Hastings District","Hawke's Bay",1948.06203181644,""
2001,"Hauraki District","Waikato",329.564024328699,""
2001,"Horowhenua District","Manawatu-Wanganui",457.274782801279,""
2001,"Hurunui District","Canterbury",187.198627786802,""
2001,"Invercargill City","Southland",1496.98574932848,""
2001,"Kaikoura District","Canterbury",67.0801295800784,""
2001,"Kaipara District","Northland",331.371831350754,""
2001,"Kapiti Coast District","Wellington",364.76700815579,""
2001,"Kawerau District","Bay of Plenty",538.264209450526,""
2001,"Lower Hutt City","Wellington",2712.91891783614,""
2001,"Mackenzie District","Canterbury",107.962205369729,""
2001,"Manawatu District","Manawatu-Wanganui",450.092458836986,""
2001,"Marlborough District","Marlborough",1100,""
2001,"Masterton District","Wellington",494.199151391373,""
2001,"Matamata-Piako District","Waikato",918.191995483076,""
2001,"Napier City","Hawke's Bay",1247.42215172891,""
2001,"Nelson City","Nelson",1349.76146178229,""
2001,"New Plymouth District","Taranaki",3005.25319915431,""
2001,"Opotiki District","Bay of Plenty",175.422361391953,""
2001,"Otorohanga District","Waikato",254.043516268333,""
2001,"Palmerston North City","Manawatu-Wanganui",2410.20863833898,""
2001,"Porirua City","Wellington",679.982700723284,""
2001,"Queenstown-Lakes District","Otago",624.059367124216,""
2001,"Rangitikei District","Hawke's Bay",42.8993135888349,""
2001,"Rangitikei District","Manawatu-Wanganui",278.857003725585,""
2001,"Rotorua District","Bay of Plenty",1269.99281566592,""
2001,"Rotorua District","Waikato",722.60020727208,""
2001,"Ruapehu District","Manawatu-Wanganui",445.109390149451,""
2001,"Selwyn District","Canterbury",611.402008653232,""
2001,"South Taranaki District","Taranaki",1537.13652689005,""
2001,"South Waikato District","Waikato",843.196701617608,""
2001,"South Wairarapa District","Wellington",183.456637369277,""
2001,"Southland District","Southland",1077.31816990596,""
2001,"Stratford District","Manawatu-Wanganui",51.4009600158812,""
2001,"Stratford District","Taranaki",154.610273955644,""
2001,"Tararua District","Manawatu-Wanganui",404.262476492959,""
2001,"Tararua District","Wellington",6.6817850158644,""
2001,"Tasman District","Tasman",834.238538217714,""
2001,"Taupo District","Bay of Plenty",139.506555516096,""
2001,"Taupo District","Hawke's Bay",84.4758215123891,""
2001,"Taupo District","Manawatu-Wanganui",5.89698443556001,""
2001,"Taupo District","Waikato",670.939882399927,""
2001,"Tauranga City","Bay of Plenty",2643.37212718996,""
2001,"Thames-Coromandel District","Waikato",475.648483548457,""
2001,"Timaru District","Canterbury",1016.22854239033,""
2001,"Upper Hutt City","Wellington",480.939691531222,""
2001,"Waikato District","Waikato",870.810045548868,""
2001,"Waimakariri District","Canterbury",413.079579160395,""
2001,"Waimate District","Canterbury",121.496846283642,""
2001,"Waipa District","Waikato",875.990787723751,""
2001,"Wairoa District","Hawke's Bay",218.178133891971,""
2001,"Waitaki District","Canterbury",283.597164925295,""
2001,"Waitaki District","Otago",224.414600416372,""
2001,"Waitomo District","Manawatu-Wanganui",14.3652823727756,""
2001,"Waitomo District","Waikato",313.959517829157,""
2001,"Wanganui District","Manawatu-Wanganui",919.532022830547,""
2001,"Wellington City","Wellington",12389.4085849662,""
2001,"Western Bay of Plenty District","Bay of Plenty",660.78043727226,""
2001,"Westland District","West Coast",200.465733149392,""
2001,"Whakatane District","Bay of Plenty",845.661493513282,""
2001,"Whangarei District","Northland",1841.64058072005,""
2002,"Ashburton District","Canterbury",872.233730060249,""
2002,"Auckland","Auckland",44888,""
2002,"Buller District","West Coast",262.047781277909,""
2002,"Carterton District","Wellington",146.410592844503,""
2002,"Central Hawke's Bay District","Hawke's Bay",419.531692482583,""
2002,"Central Otago District","Otago",454.074302149133,""
2002,"Christchurch City","Canterbury",10897.119836809,""
2002,"Clutha District","Otago",621.333883011832,""
2002,"Dunedin City","Otago",3337.1533942165,""
2002,"Far North District","Northland",1080.52191422281,""
2002,"Gisborne District","Gisborne",1058,""
2002,"Gore District","Southland",405.093372993106,""
2002,"Grey District","West Coast",362.020327070756,""
2002,"Hamilton City","Waikato",4472.04069783235,""
2002,"Hastings District","Hawke's Bay",2097.29267029826,""
2002,"Hauraki District","Waikato",357.148717896123,""
2002,"Horowhenua District","Manawatu-Wanganui",466.402142076144,""
2002,"Hurunui District","Canterbury",211.911978963958,""
2002,"Invercargill City","Southland",1571.11816458999,""
2002,"Kaikoura District","Canterbury",77.6103936283334,""
2002,"Kaipara District","Northland",386.94545078289,""
2002,"Kapiti Coast District","Wellington",384.884860671684,""
2002,"Kawerau District","Bay of Plenty",456.978498227859,""
2002,"Lower Hutt City","Wellington",2779.96192778366,""
2002,"Mackenzie District","Canterbury",107.30812085913,""
2002,"Manawatu District","Manawatu-Wanganui",489.781694208515,""
2002,"Marlborough District","Marlborough",1218,""
2002,"Masterton District","Wellington",546.993482326108,""
2002,"Matamata-Piako District","Waikato",1033.10247299641,""
2002,"Napier City","Hawke's Bay",1276.2186037816,""
2002,"Nelson City","Nelson",1447.33365445584,""
2002,"New Plymouth District","Taranaki",3049.72153789275,""
2002,"Opotiki District","Bay of Plenty",188.083206230721,""
2002,"Otorohanga District","Waikato",289.787482437435,""
2002,"Palmerston North City","Manawatu-Wanganui",2573.6075002038,""
2002,"Porirua City","Wellington",724.637003464577,""
2002,"Queenstown-Lakes District","Otago",741.506383688185,""
2002,"Rangitikei District","Hawke's Bay",47.0241401462664,""
2002,"Rangitikei District","Manawatu-Wanganui",306.979543866542,""
2002,"Rotorua District","Bay of Plenty",1364.32878721276,""
2002,"Rotorua District","Waikato",790.230034704586,""
2002,"Ruapehu District","Manawatu-Wanganui",461.312510188846,""
2002,"Selwyn District","Canterbury",677.638775534812,""
2002,"South Taranaki District","Taranaki",1578.4991223018,""
2002,"South Waikato District","Waikato",895.5047302544,""
2002,"South Wairarapa District","Wellington",201.708712352745,""
2002,"Southland District","Southland",1205.78846241691,""
2002,"Stratford District","Manawatu-Wanganui",57.5738759456926,""
2002,"Stratford District","Taranaki",172.779339805451,""
2002,"Tararua District","Manawatu-Wanganui",445.388393005399,""
2002,"Tararua District","Wellington",7.44657601394436,""
2002,"Tasman District","Tasman",932.666345544157,""
2002,"Taupo District","Bay of Plenty",147.413744760588,""
2002,"Taupo District","Hawke's Bay",92.8849366367521,""
2002,"Taupo District","Manawatu-Wanganui",6.26031173000846,""
2002,"Taupo District","Waikato",727.260781575953,""
2002,"Tauranga City","Bay of Plenty",2899.14504307856,""
2002,"Thames-Coromandel District","Waikato",540.900937756209,""
2002,"Timaru District","Canterbury",1071.52787196097,""
2002,"Upper Hutt City","Wellington",507.140935974812,""
2002,"Waikato District","Waikato",970.15051868639,""
2002,"Waimakariri District","Canterbury",437.049952226088,""
2002,"Waimate District","Canterbury",136.967814565665,""
2002,"Waipa District","Waikato",941.571704822747,""
2002,"Wairoa District","Hawke's Bay",232.047956654539,""
2002,"Waitaki District","Canterbury",310.631525391847,""
2002,"Waitaki District","Otago",241.932036934348,""
2002,"Waitomo District","Manawatu-Wanganui",15.8947884423502,""
2002,"Waitomo District","Waikato",348.301921037396,""
2002,"Wanganui District","Manawatu-Wanganui",992.799240332707,""
2002,"Wellington City","Wellington",13398.815908568,""
2002,"Western Bay of Plenty District","Bay of Plenty",718.297924400506,""
2002,"Westland District","West Coast",205.931891651335,""
2002,"Whakatane District","Bay of Plenty",918.752796089003,""
2002,"Whangarei District","Northland",1952.5326349943,""
2003,"Ashburton District","Canterbury",870.949591439272,""
2003,"Auckland","Auckland",49260,""
2003,"Buller District","West Coast",238.016708547227,""
2003,"Carterton District","Wellington",158.073843979442,""
2003,"Central Hawke's Bay District","Hawke's Bay",426.622133883499,""
2003,"Central Otago District","Otago",460.120469767213,""
2003,"Christchurch City","Canterbury",11764.2774094833,""
2003,"Clutha District","Otago",590.615511575405,""
2003,"Dunedin City","Otago",3616.19777630913,""
2003,"Far North District","Northland",1069.90645678206,""
2003,"Gisborne District","Gisborne",1085,""
2003,"Gore District","Southland",389.140451805166,""
2003,"Grey District","West Coast",362.368760243774,""
2003,"Hamilton City","Waikato",4557.29877341704,""
2003,"Hastings District","Hawke's Bay",2243.73766617901,""
2003,"Hauraki District","Waikato",316.068950922345,""
2003,"Horowhenua District","Manawatu-Wanganui",463.724949439977,""
2003,"Hurunui District","Canterbury",208.586410067019,""
2003,"Invercargill City","Southland",1659.78490629226,""
2003,"Kaikoura District","Canterbury",70.5927864683721,""
2003,"Kaipara District","Northland",325.340760818853,""
2003,"Kapiti Coast District","Wellington",409.644601716111,""
2003,"Kawerau District","Bay of Plenty",452.099443025462,""
2003,"Lower Hutt City","Wellington",2867.94782504875,""
2003,"Mackenzie District","Canterbury",111.60933975068,""
2003,"Manawatu District","Manawatu-Wanganui",431.75740355254,""
2003,"Marlborough District","Marlborough",1249,""
2003,"Masterton District","Wellington",564.446570670936,""
2003,"Matamata-Piako District","Waikato",864.067515477097,""
2003,"Napier City","Hawke's Bay",1353.18889740798,""
2003,"Nelson City","Nelson",1513.52068712827,""
2003,"New Plymouth District","Taranaki",3082.77265698891,""
2003,"Opotiki District","Bay of Plenty",183.177631046968,""
2003,"Otorohanga District","Waikato",235.493910401686,""
2003,"Palmerston North City","Manawatu-Wanganui",2729.38533387041,""
2003,"Porirua City","Wellington",760.983558529619,""
2003,"Queenstown-Lakes District","Otago",846.808573340202,""
2003,"Rangitikei District","Hawke's Bay",44.6852022524574,""
2003,"Rangitikei District","Manawatu-Wanganui",284.919453602373,""
2003,"Rotorua District","Bay of Plenty",1382.10884778499,""
2003,"Rotorua District","Waikato",755.092489097289,""
2003,"Ruapehu District","Manawatu-Wanganui",448.60439544289,""
2003,"Selwyn District","Canterbury",676.88177831276,""
2003,"South Taranaki District","Taranaki",1455.70784116035,""
2003,"South Waikato District","Waikato",831.050354366243,""
2003,"South Wairarapa District","Wellington",177.670667204547,""
2003,"Southland District","Southland",1053.07464190257,""
2003,"Stratford District","Manawatu-Wanganui",49.2136711668211,""
2003,"Stratford District","Taranaki",133.519501850735,""
2003,"Tararua District","Manawatu-Wanganui",399.630450858057,""
2003,"Tararua District","Wellington",7.03487680572817,""
2003,"Tasman District","Tasman",961.479312871731,""
2003,"Taupo District","Bay of Plenty",151.754510848986,""
2003,"Taupo District","Hawke's Bay",94.6799326877287,""
2003,"Taupo District","Manawatu-Wanganui",6.51875517670056,""
2003,"Taupo District","Waikato",712.0308754274,""
2003,"Tauranga City","Bay of Plenty",3106.7903269649,""
2003,"Thames-Coromandel District","Waikato",546.101604808125,""
2003,"Timaru District","Canterbury",1180.78978241727,""
2003,"Upper Hutt City","Wellington",516.266876462066,""
2003,"Waikato District","Waikato",935.081352875058,""
2003,"Waimakariri District","Canterbury",465.0444016065,""
2003,"Waimate District","Canterbury",134.563214206329,""
2003,"Waipa District","Waikato",878.410467912941,""
2003,"Wairoa District","Hawke's Bay",238.086167589326,""
2003,"Waitaki District","Canterbury",310.705286248527,""
2003,"Waitaki District","Otago",241.257669008055,""
2003,"Waitomo District","Manawatu-Wanganui",15.1894553097247,""
2003,"Waitomo District","Waikato",326.303705294779,""
2003,"Wanganui District","Manawatu-Wanganui",1019.05613158051,""
2003,"Wellington City","Wellington",14110.9311795828,""
2003,"Western Bay of Plenty District","Bay of Plenty",722.67436975698,""
2003,"Westland District","West Coast",200.614531208999,""
2003,"Whakatane District","Bay of Plenty",894.394870571721,""
2003,"Whangarei District","Northland",1921.75278239909,""
2004,"Ashburton District","Canterbury",948.83551814225,""
2004,"Auckland","Auckland",53178,""
2004,"Buller District","West Coast",272.777658534069,""
2004,"Carterton District","Wellington",178.392347185411,""
2004,"Central Hawke's Bay District","Hawke's Bay",434.412279527175,""
2004,"Central Otago District","Otago",525.01381582147,""
2004,"Christchurch City","Canterbury",12755.113135045,""
2004,"Clutha District","Otago",596.800236816625,""
2004,"Dunedin City","Otago",3844.95520252008,""
2004,"Far North District","Northland",1172.42530470052,""
2004,"Gisborne District","Gisborne",1098,""
2004,"Gore District","Southland",402.392432810173,""
2004,"Grey District","West Coast",393.175602322171,""
2004,"Hamilton City","Waikato",5030.15258053532,""
