"Year","TA","Region","GDP","GDP_real","GDP_perCapita","GDP_real_perCapita","notes"
2000,"Ashburton District","Canterbury",201766477.501818,264650983.22793,7790211486.55667,10218184680.6151,"estimate"
2000,"Auckland","Auckland",13247892812.2077,17289118599.4115,11026128016.8187,14389611818.0703,"estimate"
2000,"Buller District","West Coast",58352444.7878918,79912286.953251,5806213411.73053,7951471338.63194,"estimate"
2000,"Carterton District","Wellington",33592133.7923948,42938962.4179002,4911130671.40275,6277626084.48833,"estimate"
2000,"Central Hawke's Bay District","Hawke's Bay",88945881.185196,116182019.721363,6763945337.27726,8835134579.57134,"estimate"
2000,"Central Otago District","Otago",96534567.8867109,129076582.02305,6500644302.13541,8692025725.45789,"estimate"
2000,"Christchurch City","Canterbury",3287171878.5562,4300497625.30153,9847728815.32714,12883456037.4522,"estimate"
2000,"Clutha District","Otago",120667107.498771,156104286.903585,6798146901.33921,8794607712.87801,"estimate"
2000,"Dunedin City","Otago",913573598.942109,1212069532.22586,7638575241.99088,10134360637.3399,"estimate"
2000,"Far North District","Northland",250994484.071177,333893671.926326,4450256809.77264,5920100566.06961,"estimate"
2000,"Gisborne District","Gisborne",303749475.362926,402550768.287273,6588925712.86173,8732120787.14259,"estimate"
2000,"Gore District","Southland",111495363.52545,143369892.744543,8676681986.41633,11157190096.8516,"estimate"
2000,"Grey District","West Coast",102606760.325383,136894611.127829,7657220919.80467,10216015755.8082,"estimate"
2000,"Hamilton City","Waikato",1213970438.87807,1602136945.12009,10074443476.1665,13295742283.1543,"estimate"
2000,"Hastings District","Hawke's Bay",568791336.142935,744994048.048578,8207667188.20974,10750274863.6158,"estimate"
2000,"Hauraki District","Waikato",66093759.3154637,89850260.5785306,3631525237.11339,4936827504.31487,"estimate"
2000,"Horowhenua District","Manawatu-Wanganui",121879888.671243,160117534.525227,3970028946.94603,5215554870.52857,"estimate"
2000,"Hurunui District","Canterbury",32190142.377722,43281125.3506471,3228700338.78856,4341135942.89339,"estimate"
2000,"Invercargill City","Southland",423400038.849737,555085229.427313,8434263722.10632,11057474689.7871,"estimate"
2000,"Kaikoura District","Canterbury",19164010.5184535,25500634.6787678,5475431576.70099,7285895622.5051,"estimate"
