"TA","to","commuting_correction"
"Ashburton District","Christchurch City",0.035031847133758
"Auckland","Wellington City",0.00222410398196231
"Buller District","Grey District",0.0207635632953784
"Carterton District","Masterton District",0.273399014778325
"Central Hawke's Bay District","Hastings District",0.113085621970921
"Central Otago District","Queenstown-Lakes District",0.0489753386592567
"Christchurch City","Selwyn District",0.0240840281866702
"Clutha District","Dunedin City",0.0640185113767836
"Dunedin City","Auckland",0.0136066339640271
"Far North District","Whangarei District",0.0265516096913375
"Gisborne District","Auckland",0.00504956050121563
"Gore District","Southland District",0.0581005586592179
"Grey District","Buller District",0.0296523517382413
"Hamilton City","Waikato District",0.0395246838025296
"Hastings District","Napier City",0.139885222381636
"Hauraki District","Thames-Coromandel District",0.115652577798421
"Horowhenua District","Palmerston North City",0.121668597914253
"Hurunui District","Christchurch City",0.134059945504087
"Invercargill City","Southland District",0.076742364917776
"Kaikoura District","Christchurch City",0.0266903914590747
"Kaipara District","Auckland",0.0785714285714286
"Kapiti Coast District","Wellington City",0.247667246560177
"Kawerau District","Whakatane District",0.221774193548387
"Lower Hutt City","Wellington City",0.356715993170176
"Mackenzie District","Timaru District",0.0611353711790393
"Manawatu District","Palmerston North City",0.383752134666992
"Marlborough District","Auckland",0.0124347559103469
"Masterton District","Carterton District",0.0827886710239651
"Matamata-Piako District","Hamilton City",0.0822404978884197
"Napier City","Hastings District",0.259605399792316
"Nelson City","Tasman District",0.115412817128611
"New Plymouth District","South Taranaki District",0.0260537824509165
"Opotiki District","Whakatane District",0.0692307692307692
"Otorohanga District","Waipa District",0.0856697819314642
"Palmerston North City","Manawatu District",0.0400593471810089
"Porirua City","Wellington City",0.463139635732871
"Queenstown-Lakes District","Central Otago District",0.0177502991623454
"Rangitikei District","Palmerston North City",0.082089552238806
"Rotorua District","Tauranga City",0.0124749911733553
"Ruapehu District","Taupo District",0.0163111668757842
"Selwyn District","Christchurch City",0.491809775429326
"South Taranaki District","New Plymouth District",0.0440150295222759
"South Waikato District","Matamata-Piako District",0.0353495679497251
"South Wairarapa District","Wellington City",0.151578947368421
"Southland District","Invercargill City",0.145998778252902
"Stratford District","South Taranaki District",0.199384141647421
"Tararua District","Palmerston North City",0.0734024179620035
"Tasman District","Nelson City",0.255930984902948
"Taupo District","Rotorua District",0.0249398381098228
"Tauranga City","Western Bay of Plenty District",0.0530932896890344
"Thames-Coromandel District","Auckland",0.0435045317220544
"Timaru District","Christchurch City",0.0129929685111587
"Upper Hutt City","Wellington City",0.282449258059014
"Waikato District","Hamilton City",0.298816568047337
"Waimakariri District","Christchurch City",0.464959043037316
"Waimate District","Timaru District",0.166825548141087
"Waipa District","Hamilton City",0.263521288837745
"Wairoa District","Gisborne District",0.0220264317180617
"Waitaki District","Dunedin City",0.0281110730202263
"Waitomo District","Otorohanga District",0.0485197368421053
"Wanganui District","Palmerston North City",0.0202638118906519
"Wellington City","Lower Hutt City",0.0511386093460217
"Western Bay of Plenty District","Tauranga City",0.311240632805995
"Westland District","Grey District",0.114544084400904
"Whakatane District","Kawerau District",0.0747011952191235
"Whangarei District","Auckland",0.0174713118991006
