Measure,Industry,Quarter,Value,Flags
"Total earnings","Central government administration","Dec-13",634315700,
"Total earnings","Central government administration","Sep-13",650272600,
"Total earnings","Central government administration","Jun-13",561962400,
"Total earnings","Central government administration","Mar-13",582370500,
"Total earnings","Central government administration","Dec-12",591923200,
"Total earnings","Central government administration","Sep-12",604252600,
"Total earnings","Central government administration","Jun-12",516875700,
"Total earnings","Central government administration","Mar-12",565987700,
"Total earnings","Central government administration","Dec-11",547827400,
"Total earnings","Central government administration","Sep-11",587344200,
"Total earnings","Central government administration","Jun-11",506781000,
"Total earnings","Central government administration","Mar-11",558849500,
"Total earnings","Central government administration","Dec-10",526450800,
"Total earnings","Central government administration","Sep-10",573920000,
"Total earnings","Central government administration","Jun-10",498106800,
"Total earnings","Central government administration","Mar-10",569105200,
"Total earnings","Central government administration","Dec-09",498112300,
"Total earnings","Central government administration","Sep-09",567019500,
"Total earnings","Central government administration","Jun-09",560502900,
"Total earnings","Central government administration","Mar-09",502694400,
"Total earnings","Central government administration","Dec-08",566951300,
"Total earnings","Central government administration","Sep-08",484366600,
"Total earnings","Central government administration","Jun-08",523775100,
"Total earnings","Central government administration","Mar-08",444479900,
"Total earnings","Central government administration","Dec-07",517437900,
"Total earnings","Central government administration","Sep-07",403411700,
"Total earnings","Central government administration","Jun-07",457734000,
"Total earnings","Central government administration","Mar-07",373030500,
"Total earnings","Central government administration","Dec-06",432214500,
"Total earnings","Central government administration","Sep-06",361645600,
"Total earnings","Nursery and floriculture production","Dec-13",32160200,
"Total earnings","Nursery and floriculture production","Sep-13",27633700,
"Total earnings","Nursery and floriculture production","Jun-13",26046500,
"Total earnings","Central government administration","Jun-06",390798400,
"Total earnings","Central government administration","Mar-06",335379100,
"Total earnings","Central government administration","Dec-05",388408400,
"Total earnings","Central government administration","Sep-05",329607900,
"Total earnings","Central government administration","Jun-05",370586500,
"Total earnings","Central government administration","Mar-05",293255400,
"Total earnings","Central government administration","Dec-04",347149400,
"Total earnings","Central government administration","Sep-04",290118500,
"Total earnings","Central government administration","Jun-04",322242100,
"Total earnings","Central government administration","Mar-04",265122200,
"Total earnings","Central government administration","Dec-03",312948000,
"Total earnings","Central government administration","Sep-03",302244000,
"Total earnings","Central government administration","Jun-03",251966000,
"Total earnings","Central government administration","Mar-03",261770000,
"Total earnings","Central government administration","Dec-02",257187900,
"Total earnings","Central government administration","Sep-02",294622700,
"Total earnings","Central government administration","Jun-02",226984900,
"Total earnings","Central government administration","Mar-02",246091100,
"Total earnings","Central government administration","Dec-01",246092200,
"Total earnings","Central government administration","Sep-01",267613900,
"Total earnings","Central government administration","Jun-01",220322700,
"Total earnings","Central government administration","Mar-01",231873200,
"Total earnings","Central government administration","Dec-00",231607600,
"Total earnings","Central government administration","Sep-00",251576700,
"Total earnings","Central government administration","Jun-00",198628200,
"Total earnings","Central government administration","Mar-00",209208800,
"Total earnings","Central government administration","Dec-99",222722900,
"Total earnings","Central government administration","Sep-99",228630400,
"Total earnings","Central government administration","Jun-99",190052400,
"Total earnings","Fruit and tree nut growing","Dec-13",105810600,
"Total earnings","Fruit and tree nut growing","Sep-13",80513100,
"Total earnings","Fruit and tree nut growing","Jun-13",108411600,
"Total earnings","Fruit and tree nut growing","Mar-13",109338300,
"Total earnings","Nursery and floriculture production","Mar-13",26673800,
"Total earnings","Nursery and floriculture production","Dec-12",29950100,
"Total earnings","Fruit and tree nut growing","Dec-12",91538400,
"Total earnings","Fruit and tree nut growing","Sep-12",74964100,
"Total earnings","Nursery and floriculture production","Sep-12",26685700,
"Total earnings","Nursery and floriculture production","Jun-12",26104800,
"Total earnings","Fruit and tree nut growing","Jun-12",100472700,
"Total earnings","Fruit and tree nut growing","Mar-12",102113600,
"Total earnings","Nursery and floriculture production","Mar-12",26748900,
"Total earnings","Nursery and floriculture production","Dec-11",28344200,
"Total earnings","Nursery and floriculture production","Sep-11",25967800,
"Total earnings","Nursery and floriculture production","Jun-11",25733100,
"Total earnings","Nursery and floriculture production","Mar-11",26926300,
"Total earnings","Nursery and floriculture production","Dec-10",29690300,
"Total earnings","Nursery and floriculture production","Sep-10",27164200,
"Total earnings","Nursery and floriculture production","Jun-10",26676300,
"Total earnings","Nursery and floriculture production","Mar-10",27320100,
"Total earnings","Nursery and floriculture production","Dec-09",30027900,
"Total earnings","Nursery and floriculture production","Sep-09",28947200,
"Total earnings","Nursery and floriculture production","Jun-09",26654900,
"Total earnings","Nursery and floriculture production","Mar-09",28678100,
"Total earnings","Nursery and floriculture production","Dec-08",33972200,
"Total earnings","Nursery and floriculture production","Sep-08",33340400,
"Total earnings","Nursery and floriculture production","Jun-08",30526100,
"Total earnings","Nursery and floriculture production","Mar-08",31066800,
"Total earnings","Nursery and floriculture production","Dec-07",35182100,
"Total earnings","Nursery and floriculture production","Sep-07",33176400,
"Total earnings","Nursery and floriculture production","Jun-07",30200300,
"Total earnings","Nursery and floriculture production","Mar-07",28751400,
"Total earnings","Nursery and floriculture production","Dec-06",32376800,
"Total earnings","Nursery and floriculture production","Sep-06",29475300,
"Total earnings","Nursery and floriculture production","Jun-06",27024000,
"Total earnings","Nursery and floriculture production","Mar-06",26963700,
"Total earnings","Nursery and floriculture production","Dec-05",30475800,
