Measure,Industry,Region,Quarter,Value,Flags
"Total earnings","Agriculture, forestry, and fishing","Canterbury","Dec-13",147606000,
"Total earnings","Agriculture, forestry, and fishing","Canterbury","Sep-13",133490800,
"Total earnings","Agriculture, forestry, and fishing","Canterbury","Jun-13",124819600,
"Total earnings","Agriculture, forestry, and fishing","Canterbury","Mar-13",132862900,
"Total earnings","Agriculture, forestry, and fishing","Canterbury","Dec-12",134176100,
"Total earnings","Agriculture, forestry, and fishing","Canterbury","Sep-12",124570900,
"Total earnings","Agriculture, forestry, and fishing","Canterbury","Jun-12",118345800,
"Total earnings","Agriculture, forestry, and fishing","Canterbury","Mar-12",126125800,
"Total earnings","Agriculture, forestry, and fishing","Canterbury","Dec-11",124998000,
"Total earnings","Agriculture, forestry, and fishing","Canterbury","Sep-11",112500600,
"Total earnings","Agriculture, forestry, and fishing","Canterbury","Jun-11",108308800,
"Total earnings","Agriculture, forestry, and fishing","Canterbury","Mar-11",114517300,
"Total earnings","Agriculture, forestry, and fishing","Canterbury","Dec-10",118018500,
"Total earnings","Agriculture, forestry, and fishing","Canterbury","Sep-10",104674200,
"Total earnings","Agriculture, forestry, and fishing","Otago","Jun-13",46787900,
"Total earnings","Agriculture, forestry, and fishing","Otago","Mar-13",60290000,
"Total earnings","Agriculture, forestry, and fishing","Otago","Dec-12",52199900,
"Total earnings","Agriculture, forestry, and fishing","Otago","Sep-12",49242900,
"Total earnings","Agriculture, forestry, and fishing","Otago","Jun-12",45207500,
"Total earnings","Agriculture, forestry, and fishing","Otago","Mar-12",57517600,
"Total earnings","Agriculture, forestry, and fishing","Otago","Dec-11",49524900,
"Total earnings","Agriculture, forestry, and fishing","Otago","Sep-11",44562100,
"Total earnings","Agriculture, forestry, and fishing","Otago","Jun-11",40849600,
"Total earnings","Agriculture, forestry, and fishing","Otago","Mar-11",53976600,
"Total earnings","Agriculture, forestry, and fishing","Otago","Dec-10",47341600,
"Total earnings","Agriculture, forestry, and fishing","Otago","Sep-10",42207900,
"Total earnings","Agriculture, forestry, and fishing","Otago","Jun-10",37442500,
"Total earnings","Agriculture, forestry, and fishing","Canterbury","Jun-10",103071400,
"Total earnings","Agriculture, forestry, and fishing","Canterbury","Mar-10",109060200,
"Total earnings","Agriculture, forestry, and fishing","Otago","Mar-10",48598700,
"Total earnings","Agriculture, forestry, and fishing","Otago","Dec-13",58006300,
"Total earnings","Agriculture, forestry, and fishing","Wellington","Dec-13",25958200,
"Total earnings","Agriculture, forestry, and fishing","Wellington","Sep-13",22464400,
"Total earnings","Agriculture, forestry, and fishing","Otago","Sep-13",52048900,
"Total earnings","Agriculture, forestry, and fishing","Tasman, Nelson, Marlborough, West Coast","Jun-13",94534900,
"Total earnings","Agriculture, forestry, and fishing","Wellington","Jun-13",24176600,
"Total earnings","Agriculture, forestry, and fishing","Wellington","Mar-13",25758600,
"Total earnings","Agriculture, forestry, and fishing","Tasman, Nelson, Marlborough, West Coast","Mar-13",85022700,
"Total earnings","Agriculture, forestry, and fishing","Tasman, Nelson, Marlborough, West Coast","Dec-12",82999100,
"Total earnings","Agriculture, forestry, and fishing","Wellington","Dec-12",25591700,
"Total earnings","Agriculture, forestry, and fishing","Wellington","Sep-12",24645200,
"Total earnings","Agriculture, forestry, and fishing","Tasman, Nelson, Marlborough, West Coast","Sep-12",87923800,
"Total earnings","Agriculture, forestry, and fishing","Tasman, Nelson, Marlborough, West Coast","Jun-12",89669900,
"Total earnings","Agriculture, forestry, and fishing","Wellington","Jun-12",22989500,
"Total earnings","Agriculture, forestry, and fishing","Wellington","Mar-12",25128100,
"Total earnings","Agriculture, forestry, and fishing","Tasman, Nelson, Marlborough, West Coast","Mar-12",82159700,
"Total earnings","Agriculture, forestry, and fishing","Tasman, Nelson, Marlborough, West Coast","Dec-11",78515900,
"Total earnings","Agriculture, forestry, and fishing","Wellington","Dec-11",23795700,
"Total earnings","Agriculture, forestry, and fishing","Wellington","Sep-11",21869200,
"Total earnings","Agriculture, forestry, and fishing","Tasman, Nelson, Marlborough, West Coast","Sep-11",84409600,
"Total earnings","Agriculture, forestry, and fishing","Tasman, Nelson, Marlborough, West Coast","Jun-11",87292800,
"Total earnings","Agriculture, forestry, and fishing","Wellington","Jun-11",21033100,
"Total earnings","Agriculture, forestry, and fishing","Wellington","Mar-11",22730000,
"Total earnings","Agriculture, forestry, and fishing","Tasman, Nelson, Marlborough, West Coast","Mar-11",82862100,
"Total earnings","Agriculture, forestry, and fishing","Tasman, Nelson, Marlborough, West Coast","Dec-10",80202500,
"Total earnings","Agriculture, forestry, and fishing","Wellington","Dec-10",22952700,
"Total earnings","Agriculture, forestry, and fishing","Wellington","Sep-10",21173500,
"Total earnings","Agriculture, forestry, and fishing","Tasman, Nelson, Marlborough, West Coast","Sep-10",83449300,
"Total earnings","Agriculture, forestry, and fishing","Tasman, Nelson, Marlborough, West Coast","Jun-10",85733100,
"Total earnings","Agriculture, forestry, and fishing","Wellington","Jun-10",21035400,
"Total earnings","Agriculture, forestry, and fishing","Wellington","Mar-10",22611300,
"Total earnings","Agriculture, forestry, and fishing","Tasman, Nelson, Marlborough, West Coast","Mar-10",80874500,
"Total earnings","Agriculture, forestry, and fishing","Tasman, Nelson, Marlborough, West Coast","Dec-13",91767000,
"Total earnings","Agriculture, forestry, and fishing","Southland","Dec-13",65665000,
"Total earnings","Agriculture, forestry, and fishing","Southland","Sep-13",56947000,
"Total earnings","Agriculture, forestry, and fishing","Tasman, Nelson, Marlborough, West Coast","Sep-13",92743300,
"Total earnings","Agriculture, forestry, and fishing","Southland","Jun-13",53578600,
"Total earnings","Agriculture, forestry, and fishing","Southland","Mar-13",61714600,
"Total earnings","Agriculture, forestry, and fishing","Southland","Dec-12",60303900,
"Total earnings","Agriculture, forestry, and fishing","Southland","Sep-12",52583200,
"Total earnings","Agriculture, forestry, and fishing","Southland","Jun-12",51416000,
"Total earnings","Agriculture, forestry, and fishing","Southland","Mar-12",58547700,
"Total earnings","Agriculture, forestry, and fishing","Southland","Dec-11",57888500,
"Total earnings","Agriculture, forestry, and fishing","Southland","Sep-11",49339800,
"Total earnings","Agriculture, forestry, and fishing","Southland","Jun-11",46913000,
"Total earnings","Agriculture, forestry, and fishing","Southland","Mar-11",54364600,
"Total earnings","Agriculture, forestry, and fishing","Southland","Dec-10",53671700,
"Total earnings","Agriculture, forestry, and fishing","Southland","Sep-10",46612500,
"Total earnings","Agriculture, forestry, and fishing","Southland","Jun-10",42569400,
"Total earnings","Agriculture, forestry, and fishing","Southland","Mar-10",50261100,
"Total earnings","Agriculture, forestry, and fishing","Northland","Dec-09",33453600,
"Total earnings","Agriculture, forestry, and fishing","Northland","Sep-09",29917500,
"Total earnings","Agriculture, forestry, and fishing","Northland","Jun-09",30006100,
"Total earnings","Agriculture, forestry, and fishing","Northland","Mar-09",31074800,
"Total earnings","Agriculture, forestry, and fishing","Northland","Dec-08",35360500,
"Total earnings","Agriculture, forestry, and fishing","Northland","Sep-08",31381700,
"Total earnings","Agriculture, forestry, and fishing","Northland","Jun-08",31968200,
"Total earnings","Agriculture, forestry, and fishing","Northland","Mar-08",30641700,
"Total earnings","Agriculture, forestry, and fishing","Northland","Dec-07",34308500,
"Total earnings","Agriculture, forestry, and fishing","Northland","Sep-07",29132700,
"Total earnings","Agriculture, forestry, and fishing","Northland","Jun-07",28027200,
"Total earnings","Agriculture, forestry, and fishing","Northland","Mar-07",27381100,
"Total earnings","Agriculture, forestry, and fishing","Northland","Dec-06",32650500,
"Total earnings","Agriculture, forestry, and fishing","Northland","Sep-06",28893000,
"Total earnings","Agriculture, forestry, and fishing","Northland","Jun-06",28642500,
"Total earnings","Agriculture, forestry, and fishing","Northland","Mar-06",28467400,
"Total earnings","Agriculture, forestry, and fishing","Northland","Dec-05",34155100,
"Total earnings","Agriculture, forestry, and fishing","Northland","Sep-05",28468000,
"Total earnings","Agriculture, forestry, and fishing","Northland","Jun-05",27625800,
