Measure,Industry,Region,Quarter,Value,Flags
"Total filled jobs","Agriculture, forestry, and fishing","Gisborne","Mar-14",3600,
"Total filled jobs","Agriculture, forestry, and fishing","Gisborne","Mar-13",3370,
"Total filled jobs","Agriculture, forestry, and fishing","Gisborne","Mar-12",3450,
"Total filled jobs","Agriculture, forestry, and fishing","Gisborne","Mar-11",3420,
"Total filled jobs","Agriculture, forestry, and fishing","Gisborne","Mar-10",3520,
"Total filled jobs","Agriculture, forestry, and fishing","Gisborne","Mar-09",3420,
"Total filled jobs","Agriculture, forestry, and fishing","Gisborne","Mar-08",3570,
"Total filled jobs","Agriculture, forestry, and fishing","Gisborne","Mar-07",3480,
"Total filled jobs","Agriculture, forestry, and fishing","Gisborne","Mar-06",3500,
"Total filled jobs","Agriculture, forestry, and fishing","Gisborne","Mar-05",3930,
"Total filled jobs","Agriculture, forestry, and fishing","Gisborne","Mar-04",3640,
"Total filled jobs","Agriculture, forestry, and fishing","Gisborne","Mar-03",3540,
"Total filled jobs","Agriculture, forestry, and fishing","Gisborne","Mar-02",3910,
"Total filled jobs","Agriculture, forestry, and fishing","Gisborne","Mar-01",3440,
"Total filled jobs","Agriculture, forestry, and fishing","Gisborne","Mar-00",3490,
"Total filled jobs","Agriculture, forestry, and fishing","Auckland","Mar-14",5110,
"Total filled jobs","Agriculture, forestry, and fishing","Auckland","Mar-13",4790,
"Total filled jobs","Agriculture, forestry, and fishing","Auckland","Mar-12",4810,
"Total filled jobs","Agriculture, forestry, and fishing","Auckland","Mar-11",4860,
"Total filled jobs","Agriculture, forestry, and fishing","Auckland","Mar-10",5220,
"Total filled jobs","Agriculture, forestry, and fishing","Auckland","Mar-09",5210,
"Total filled jobs","Agriculture, forestry, and fishing","Auckland","Mar-08",4880,
"Total filled jobs","Agriculture, forestry, and fishing","Auckland","Mar-07",5280,
"Total filled jobs","Agriculture, forestry, and fishing","Auckland","Mar-06",5140,
"Total filled jobs","Agriculture, forestry, and fishing","Auckland","Mar-05",5580,
"Total filled jobs","Agriculture, forestry, and fishing","Auckland","Mar-04",5700,
"Total filled jobs","Agriculture, forestry, and fishing","Auckland","Mar-03",5630,
