Measure,Territorial authority,Quarter,Value,Flags
"Total earnings","Far North district","Mar-14",165875000,
"Total earnings","Tararua district","Mar-14",56498900,
"Total earnings","Horowhenua district","Mar-14",75492300,
"Total earnings","Manawatu district","Mar-14",82864100,
"Total earnings","Palmerston North city","Mar-14",519236500,
"Total earnings","Wanganui district","Mar-14",168299300,
"Total earnings","Rangitikei district (modified)","Mar-14",49267400,
"Total earnings","South Taranaki district","Mar-14",153346900,
"Total earnings","Ruapehu district (modified)","Mar-14",50514900,
"Total earnings","New Plymouth district","Mar-14",472730800,
"Total earnings","Stratford district","Mar-14",27991500,
"Total earnings","Napier city","Mar-14",233789200,
"Total earnings","Central Hawke's Bay district","Mar-14",51930700,
"Total earnings","Wairoa district","Mar-14",28323100,
"Total earnings","Hastings district (modified)","Mar-14",395894300,
"Total earnings","Opotiki district","Mar-14",25589100,
"Total earnings","Gisborne district","Mar-14",187522800,
"Total earnings","Whakatane district (modified)","Mar-14",131038900,
"Total earnings","Kawerau district","Mar-14",37863100,
"Total earnings","Tauranga city","Mar-14",567348500,
"Total earnings","Rotorua district","Mar-14",318144500,
"Total earnings","Taupo district (modified)","Mar-14",149577700,
"Total earnings","Western Bay of Plenty district","Mar-14",114552500,
"Total earnings","South Waikato district","Mar-14",89268600,
"Total earnings","Waitomo district (modified)","Mar-14",43631400,
"Total earnings","Waipa district","Mar-14",168595300,
"Total earnings","Otorohanga district","Mar-14",37736100,
"Total earnings","Matamata-Piako district","Mar-14",152297100,
"Total earnings","Hamilton city","Mar-14",948995900,
"Total earnings","Hauraki district","Mar-14",60546400,
"Total earnings","Waikato district","Mar-14",171464300,
"Total earnings","Auckland","Mar-14",8894968400,
"Total earnings","Thames-Coromandel district","Mar-14",82426200,
"Total earnings","Westland district","Mar-14",38914700,
"Total earnings","Hurunui district","Mar-14",41810100,
"Total earnings","Buller district","Mar-14",60204300,
"Total earnings","Grey district","Mar-14",73850800,
"Total earnings","Marlborough district","Mar-14",218101600,
"Total earnings","Kaikoura district","Mar-14",13521900,
"Total earnings","Tasman district","Mar-14",182339200,
"Total earnings","Nelson city","Mar-14",269383000,
"Total earnings","Carterton district","Mar-14",27064300,
"Total earnings","South Wairarapa district","Mar-14",24987000,
"Total earnings","Wellington city","Mar-14",2219796400,
"Total earnings","Masterton district","Mar-14",94438600,
"Total earnings","Upper Hutt city","Mar-14",124500400,
"Total earnings","Lower Hutt city","Mar-14",501373000,
"Total earnings","Kapiti Coast district","Mar-14",107552900,
"Total earnings","Porirua city","Mar-14",183525900,
"Total earnings","Waimakariri district","Mar-14",130431900,
"Total earnings","Whangarei district","Mar-14",353547800,
"Total earnings","Kaipara district","Mar-14",53669600,
"Total earnings","Far North district","Dec-13",177038100,
"Total earnings","Far North district","Sep-13",159733000,
"Total earnings","Far North district","Jun-13",161794300,
"Total earnings","Far North district","Mar-13",160474400,
"Total earnings","Christchurch city (modified)","Mar-14",2359153200,
"Total earnings","Selwyn district","Mar-14",178611400,
"Total earnings","Ashburton district","Mar-14",169307300,
"Total earnings","Timaru district","Mar-14",238493500,
"Total earnings","Mackenzie district","Mar-14",19369400,
