RegionIndustryRGDP15,RGDP_industry
Construction,Construction
Southland Manufacturing,Manufacturing
Northland Manufacturing,Manufacturing
Agriculture,Agriculture
Wholesale Trade,Wholesale Trade
Retail Trade,Retail Trade
Accommodation and Food Services,Accommodation and Food Services
"Transport, Postal and Warehousing","Transport, Postal and Warehousing"
Financial and Insurance Services,Financial and Insurance Services
"Rental, Hiring and Real Estate Services","Rental, Hiring and Real Estate Services"
Administrative and Support Services,Administrative and Support Services
Education and Training,Education and Training
Health Care and Social Assistance,Health Care and Social Assistance
"Marlborough Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services","Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
"West Coast Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services","Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
"Information Media, Telecommunications and Other Services","Information Media, Telecommunications and Other Services"
Owner-Occupied Property Operation,Owner-Occupied Property Operation
Public Administration and Safety,Public Administration and Safety
"GST on Production, Import Duties and Other Taxes","GST on Production, Import Duties and Other Taxes"
Auckland Other Manufacturing,Manufacturing
Wellington Other Manufacturing,Manufacturing
Canterbury Other Manufacturing,Manufacturing
Waikato Other Manufacturing,Manufacturing
Bay of Plenty Other Manufacturing,Manufacturing
Gisborne Other Manufacturing,Manufacturing
Taranaki Other Manufacturing,Manufacturing
Hawke's Bay Other Manufacturing,Manufacturing
Marlborough Other Manufacturing,Manufacturing
West Coast Other Manufacturing,Manufacturing
Otago Other Manufacturing,Manufacturing
Manawatu-Wanganui Other Manufacturing,Manufacturing
Tasman/Nelson Other Manufacturing,Manufacturing
"Tasman/Nelson Forestry, Fishing, and Mining","Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
"Manawatu-Wanganui Forestry, Fishing, and Mining","Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
"Southland Forestry, Fishing, and Mining","Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
"Otago Forestry, Fishing, and Mining","Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
"Hawke's Bay Forestry, Fishing, and Mining","Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
"Taranaki Forestry, Fishing, and Mining","Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
"Bay of Plenty Forestry, Fishing, and Mining","Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
"Gisborne Forestry, Fishing, and Mining","Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
"Waikato Forestry, Fishing, and Mining","Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
"Northland Forestry, Fishing, and Mining","Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
"Canterbury Forestry, Fishing, and Mining","Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
"Wellington Forestry, Fishing, and Mining","Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
"Auckland Forestry, Fishing, and Mining","Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
Auckland Primary Manufacturing,Manufacturing
Wellington Primary Manufacturing,Manufacturing
Canterbury Primary Manufacturing,Manufacturing
Waikato Primary Manufacturing,Manufacturing
Gisborne Primary Manufacturing,Manufacturing
Bay of Plenty Primary Manufacturing,Manufacturing
Taranaki Primary Manufacturing,Manufacturing
Hawke's Bay Primary Manufacturing,Manufacturing
Marlborough Primary Manufacturing,Manufacturing
Otago Primary Manufacturing,Manufacturing
West Coast Primary Manufacturing,Manufacturing
Manawatu-Wanganui Primary Manufacturing,Manufacturing
Tasman/Nelson Primary Manufacturing,Manufacturing
"Tasman/Nelson Electricity, Gas, Water, and Waste services","Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
"Southland Electricity, Gas, Water, and Waste services","Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
"Manawatu-Wanganui Electricity, Gas, Water, and Waste services","Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
"Otago Electricity, Gas, Water, and Waste services","Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
"Hawke's Bay Electricity, Gas, Water, and Waste services","Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
"Taranaki Electricity, Gas, Water, and Waste services","Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
"Waikato Electricity, Gas, Water, and Waste services","Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
"Gisborne Electricity, Gas, Water, and Waste services","Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
"Bay of Plenty Electricity, Gas, Water, and Waste services","Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
"Northland Electricity, Gas, Water, and Waste services","Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
"Canterbury Electricity, Gas, Water, and Waste services","Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
"Wellington Electricity, Gas, Water, and Waste services","Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
"Auckland Electricity, Gas, Water, and Waste services","Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services"
"Professional, Scientific and Support Services","Professional, Scientific and Support Services"
