Territorial_Authority,ta_simpl_gg,Region,Cluster
Ashburton District,Ashburton,Canterbury,Canterbury
Auckland,Auckland,Auckland,Auckland
Buller District,Buller,West Coast,West Coast
Carterton District,Carterton,Wellington,Wellington
Central Hawke's Bay District,Central Hawke's Bay,Hawke's Bay,Gisborne-Hawke.s.Bay
Central Otago District,Central Otago,Otago,Otago
Christchurch City,Christchurch City,Canterbury,Canterbury
Clutha District,Clutha,Otago,Otago
Dunedin City,Dunedin City,Otago,Otago
Far North District,Far North,Northland,Northland
Gisborne District,Gisborne,Gisborne,Gisborne-Hawke.s.Bay
Gore District,Gore,Southland,Southland
Grey District,Grey,West Coast,West Coast
Hamilton City,Hamilton City,Waikato,Waikato
Hastings District,Hastings,Hawke's Bay,Gisborne-Hawke.s.Bay
Hauraki District,Hauraki,Waikato,Waikato
Horowhenua District,Horowhenua,Manawatu-Wanganui,Manawatu-Wanganui
Hurunui District,Hurunui,Canterbury,Canterbury
Invercargill City,Invercargill City,Southland,Southland
Kaikoura District,Kaikoura,Canterbury,Canterbury
Kaipara District,Kaipara,Northland,Northland
Kapiti Coast District,Kapiti Coast,Wellington,Wellington
Kawerau District,Kawerau,Bay of Plenty,Bay of Plenty
Lower Hutt City,Lower Hutt City,Wellington,Wellington
Mackenzie District,Mackenzie,Canterbury,Canterbury
Manawatu District,Manawatu,Manawatu-Wanganui,Manawatu-Wanganui
Marlborough District,Marlborough,Marlborough,Marlborough.Nelson.Tasman
Masterton District,Masterton,Wellington,Wellington
Matamata-Piako District,Matamata-Piako,Waikato,Waikato
Napier City,Napier City,Hawke's Bay,Gisborne-Hawke.s.Bay
Nelson City,Nelson City,Nelson,Marlborough.Nelson.Tasman
New Plymouth District,New Plymouth,Taranaki,Taranaki
Opotiki District,Opotiki,Bay of Plenty,Bay of Plenty
Otorohanga District,Otorohanga,Waikato,Waikato
Palmerston North City,Palmerston North City,Manawatu-Wanganui,Manawatu-Wanganui
Porirua City,Porirua City,Wellington,Wellington
Queenstown-Lakes District,Queenstown-Lakes,Otago,Otago
Rangitikei District,Rangitikei,Manawatu-Wanganui,Manawatu-Wanganui
Rotorua District,Rotorua,Bay of Plenty,Bay of Plenty
Ruapehu District,Ruapehu,Manawatu-Wanganui,Manawatu-Wanganui
Selwyn District,Selwyn,Canterbury,Canterbury
South Taranaki District,South Taranaki,Taranaki,Taranaki
South Waikato District,South Waikato,Waikato,Waikato
South Wairarapa District,South Wairarapa,Wellington,Wellington
Southland District,Southland,Southland,Southland
Stratford District,Stratford,Taranaki,Taranaki
Tararua District,Tararua,Manawatu-Wanganui,Manawatu-Wanganui
Tasman District,Tasman,Tasman,Marlborough.Nelson.Tasman
Taupo District,Taupo,Waikato,Waikato
Tauranga City,Tauranga City,Bay of Plenty,Bay of Plenty
Thames-Coromandel District,Thames-Coromandel,Waikato,Waikato
Timaru District,Timaru,Canterbury,Canterbury
Upper Hutt City,Upper Hutt City,Wellington,Wellington
Waikato District,Waikato,Waikato,Waikato
Waimakariri District,Waimakariri,Canterbury,Canterbury
Waimate District,Waimate,Canterbury,Canterbury
Waipa District,Waipa,Waikato,Waikato
Wairoa District,Wairoa,Hawke's Bay,Gisborne-Hawke.s.Bay
Waitaki District,Waitaki,Otago,Otago
Waitomo District,Waitomo,Waikato,Waikato
Wanganui District,Wanganui,Manawatu-Wanganui,Manawatu-Wanganui
Wellington City,Wellington City,Wellington,Wellington
Western Bay of Plenty District,Western Bay of Plenty,Bay of Plenty,Bay of Plenty
Westland District,Westland,West Coast,West Coast
Whakatane District,Whakatane,Bay of Plenty,Bay of Plenty
Whangarei District,Whangarei,Northland,Northland
