LEED4Industry,deflatorIndustry
Nursery and floriculture production,Agriculture
Mushroom and vegetable growing,Agriculture
Fruit and tree nut growing,Agriculture
"Grain, sheep, and beef cattle farming",Agriculture
Other crop growing,Agriculture
Dairy cattle farming,Agriculture
Poultry farming,Agriculture
Deer farming,Agriculture
Other livestock farming,Agriculture
Forestry and logging,Forestry and Logging
Aquaculture,"Fishing, Aquaculture and Agriculture, Forestry and Fishing Support Services"
Fishing,"Fishing, Aquaculture and Agriculture, Forestry and Fishing Support Services"
Hunting and trapping,"Fishing, Aquaculture and Agriculture, Forestry and Fishing Support Services"
Forestry support services,"Fishing, Aquaculture and Agriculture, Forestry and Fishing Support Services"
Agriculture and fishing support services,"Fishing, Aquaculture and Agriculture, Forestry and Fishing Support Services"
"Coal, oil, gas, and metal ore mining",Mining
Construction material mining,Mining
Other non-metallic mineral mining and quarrying,Mining
Exploration and other mining services,Mining
Meat and meat product manufacturing,"Food, Beverage and Tobacco Product Manufacturing"
Seafood processing,"Food, Beverage and Tobacco Product Manufacturing"
Dairy product and other food product manufacturing,"Food, Beverage and Tobacco Product Manufacturing"
Fruit and vegetable processing,"Food, Beverage and Tobacco Product Manufacturing"
Grain mill and cereal product manufacturing,"Food, Beverage and Tobacco Product Manufacturing"
"Bakery product, sugar, and confectionery manufacturing","Food, Beverage and Tobacco Product Manufacturing"
Beverage and tobacco manufacturing,"Food, Beverage and Tobacco Product Manufacturing"
"Textile fibre, yarn, and woven fabric manufacturing","Textile, Leather, Clothing and Footwear Manufacturing"
Leather tanning and fur dressing,"Textile, Leather, Clothing and Footwear Manufacturing"
Textile product manufacturing,"Textile, Leather, Clothing and Footwear Manufacturing"
Knitted product manufacturing,"Textile, Leather, Clothing and Footwear Manufacturing"
Clothing and footwear manufacturing,"Textile, Leather, Clothing and Footwear Manufacturing"
Log sawmilling and timber dressing,Wood and Paper Products Manufacturing
Other wood product manufacturing,Wood and Paper Products Manufacturing
"Pulp, paper, and converted paper product manufacturing",Wood and Paper Products Manufacturing
Printing,Printing
Petroleum refining and petroleum and coal product manufacturing,"Petroleum, Chemical, Polymer and Rubber Product Manufacturing"
Chemical manufacturing,"Petroleum, Chemical, Polymer and Rubber Product Manufacturing"
Basic polymer manufacturing,"Petroleum, Chemical, Polymer and Rubber Product Manufacturing"
Fertiliser and pesticide manufacturing,"Petroleum, Chemical, Polymer and Rubber Product Manufacturing"
