LEED_TA,SNZ_TA
Ashburton district,Ashburton District
Auckland,Auckland
Buller district,Buller District
Carterton district,Carterton District
Central Hawke's Bay district,Central Hawke's Bay District
Central Otago district,Central Otago District
Christchurch city (modified),Christchurch City
Clutha district,Clutha District
Dunedin city,Dunedin City
Far North district,Far North District
Gisborne district,Gisborne District
Gore district,Gore District
Grey district,Grey District
Hamilton city,Hamilton City
Hastings district (modified),Hastings District
Hauraki district,Hauraki District
Horowhenua district,Horowhenua District
Hurunui district,Hurunui District
Invercargill city,Invercargill City
Kaikoura district,Kaikoura District
Kaipara district,Kaipara District
Kapiti Coast district,Kapiti Coast District
Kawerau district,Kawerau District
Lower Hutt city,Lower Hutt City
Mackenzie district,Mackenzie District
Manawatu district,Manawatu District
Marlborough district,Marlborough District
Masterton district,Masterton District
Matamata-Piako district,Matamata-Piako District
Napier city,Napier City
Nelson city,Nelson City
New Plymouth district,New Plymouth District
Opotiki district,Opotiki District
Otorohanga district,Otorohanga District
Palmerston North city,Palmerston North City
Porirua city,Porirua City
Queenstown-Lakes district,Queenstown-Lakes District
Rangitikei district (modified),Rangitikei District
Rotorua district,Rotorua District
Ruapehu district (modified),Ruapehu District
Selwyn district,Selwyn District
South Taranaki district,South Taranaki District
South Waikato district,South Waikato District
South Wairarapa district,South Wairarapa District
Southland district,Southland District
Stratford district,Stratford District
Tararua district,Tararua District
Tasman district,Tasman District
Taupo district (modified),Taupo District
Tauranga city,Tauranga City
Thames-Coromandel district,Thames-Coromandel District
Timaru district,Timaru District
Upper Hutt city,Upper Hutt City
Waikato district,Waikato District
Waimakariri district,Waimakariri District
Waimate district,Waimate District
Waipa district,Waipa District
Wairoa district,Wairoa District
Waitaki district,Waitaki District
Waitomo district (modified),Waitomo District
Wanganui district,Wanganui District
Wellington city,Wellington City
Western Bay of Plenty district,Western Bay of Plenty District
Westland district,Westland District
Whakatane district (modified),Whakatane District
Whangarei district,Whangarei District
