Region,LEED18Region,RegionGDP
Canterbury,Canterbury,Canterbury
Auckland,Auckland,Auckland
West Coast,"Tasman, Nelson, Marlborough, West Coast",West Coast
Wellington,Wellington,Wellington
Hawke's Bay,Hawke's Bay,Hawke's Bay
Otago,Otago,Otago
Northland,Northland,Northland
Gisborne,Gisborne,Gisborne
Southland,Southland,Southland
Waikato,Waikato,Waikato
Manawatu-Wanganui,Manawatu-Wanganui,Manawatu-Wanganui
Bay of Plenty,Bay of Plenty,Bay of Plenty
Marlborough,"Tasman, Nelson, Marlborough, West Coast",Marlborough
Nelson,"Tasman, Nelson, Marlborough, West Coast",Tasman/Nelson
Taranaki,Taranaki,Taranaki
Tasman,"Tasman, Nelson, Marlborough, West Coast",Tasman/Nelson
